"Subnet","OverlappingSubnet","SubnetSite","OverlappingSite","SiteCollision","DCInSite"
"10.0.0.0","10.2.8.0","ISD","ISD","False","True"
"10.0.0.0","10.199.200.0","ISD","US-S00685","True","True"
"10.0.0.0","10.223.132.0","ISD","US-S00676","True","True"
"10.0.0.0","10.155.208.0","ISD","US-S07038","True","True"
"10.0.0.0","10.214.20.0","ISD","US-S00541","True","True"
"10.0.0.0","10.200.72.0","ISD","US-S00669","True","True"
"10.0.0.0","10.220.184.0","ISD","US-S00528","True","True"
"10.0.0.0","10.202.0.0","ISD","US-S00395","True","True"
"10.0.0.0","10.200.48.0","ISD","US-S00546","True","True"
"10.0.0.0","10.203.30.0","ISD","US-S00511","True","True"
"10.0.0.0","10.193.46.0","ISD","US-S00773","True","True"
"10.0.0.0","10.76.0.0","ISD","CAM-CostaRica-HO","True","True"
"10.0.0.0","10.200.76.0","ISD","US-S00745","True","True"
"10.0.0.0","10.154.168.0","ISD","US-S07048","True","True"
"10.0.0.0","10.194.186.0","ISD","US-S00523","True","True"
"10.0.0.0","10.200.188.0","ISD","US-S00397","True","True"
"10.0.0.0","10.157.8.0","ISD","AR-S07433","True","True"
"10.0.0.0","10.214.36.0","ISD","US-S00764","True","True"
"10.0.0.0","10.193.26.0","ISD","US-S00377","True","True"
"10.0.0.0","10.14.6.0","ISD","CN-HOMEOFFICE","True","True"
"10.0.0.0","10.155.160.0","ISD","US-S07024","True","True"
"10.0.0.0","10.211.92.0","ISD","US-S00521","True","True"
"10.0.0.0","10.70.84.0","ISD","US-S00589","True","True"
